time,lattitude,longtitude,connection_strength_data,provider,segment_id,commuter_density_per_km,vehicle_flow_per_min,mass_transit_load_index
2024-03-04T04:30:00,35.681984,139.801759,59.745,LoopNet Wireless,A01,139.954,57.176,0.608
2024-03-04T04:32:00,35.678483,139.801732,59.386,UQ Mobile,B07,140.277,60.974,0.559
2024-03-04T04:34:00,35.680734,139.800738,59.687,UQ Mobile,C13,143.413,58.904,0.645
2024-03-04T04:36:00,35.682398,139.801617,59.517,LoopNet Wireless,D22,142.319,62.489,0.627
2024-03-04T04:38:00,35.682157,139.79911,59.883,MetroLink Mobile,E31,141.702,57.457,0.662
2024-03-04T04:40:00,35.681632,139.80075,59.623,MetroLink Mobile,A01,139.067,60.251,0.599
2024-03-04T04:42:00,35.68181,139.801379,59.652,LoopNet Wireless,B07,144.246,60.984,0.665
2024-03-04T04:44:00,35.68272,139.799778,59.766,MetroLink Mobile,C13,138.749,59.001,0.619
2024-03-04T04:46:00,35.682374,139.801781,59.691,LoopNet Wireless,D22,145.418,60.683,0.684
2024-03-04T04:48:00,35.68141,139.800853,59.584,UQ Mobile,E31,148.381,60.772,0.688
2024-03-04T04:50:00,35.685089,139.797856,60.036,LoopNet Wireless,A01,139.257,59.222,0.694
2024-03-04T04:52:00,35.682576,139.799958,59.545,LoopNet Wireless,B07,145.3,64.138,0.681
2024-03-04T04:54:00,35.685549,139.801603,59.791,LoopNet Wireless,C13,141.984,64.812,0.716
2024-03-04T04:56:00,35.68445,139.799952,59.683,UQ Mobile,D22,147.309,62.916,0.723
2024-03-04T04:58:00,35.684715,139.798238,59.54,UQ Mobile,E31,147.459,64.583,0.705
2024-03-04T05:00:00,35.683608,139.800905,59.488,LoopNet Wireless,A01,149.167,65.023,0.714
2024-03-04T05:02:00,35.685032,139.801119,59.466,MetroLink Mobile,B07,142.104,65.84,0.646
2024-03-04T05:04:00,35.686448,139.800321,59.527,LoopNet Wireless,C13,149.881,65.64,0.737
2024-03-04T05:06:00,35.685598,139.798126,59.883,MetroLink Mobile,D22,142.968,60.485,0.705
2024-03-04T05:08:00,35.688935,139.800983,59.613,LoopNet Wireless,E31,142.717,65.246,0.683
2024-03-04T05:10:00,35.68797,139.798801,59.661,UQ Mobile,A01,144.711,61.607,0.678
2024-03-04T05:12:00,35.686223,139.79704,59.793,MetroLink Mobile,B07,148.085,63.16,0.761
2024-03-04T05:14:00,35.688877,139.797678,59.696,MetroLink Mobile,C13,142.537,66.166,0.711
2024-03-04T05:16:00,35.687674,139.797853,59.944,MetroLink Mobile,D22,143.674,63.973,0.762
2024-03-04T05:18:00,35.690599,139.796661,59.611,LoopNet Wireless,E31,150.014,67.113,0.774
2024-03-04T05:20:00,35.690493,139.79721,59.434,UQ Mobile,A01,151.548,67.505,0.749
2024-03-04T05:22:00,35.691554,139.79937,59.851,MetroLink Mobile,B07,150.937,62.329,0.795
2024-03-04T05:24:00,35.690012,139.799087,59.663,UQ Mobile,C13,142.908,66.545,0.71
2024-03-04T05:26:00,35.69042,139.798745,59.741,UQ Mobile,D22,150.248,66.959,0.807
2024-03-04T05:28:00,35.692089,139.798022,59.764,LoopNet Wireless,E31,148.491,66.652,0.792
2024-03-04T05:30:00,35.689254,139.798348,59.719,LoopNet Wireless,A01,145.203,68.65,0.768
2024-03-04T05:32:00,35.690923,139.795858,59.54,UQ Mobile,B07,150.345,65.869,0.747
2024-03-04T05:34:00,35.690186,139.797303,59.823,LoopNet Wireless,C13,152.519,63.713,0.818
2024-03-04T05:36:00,35.691221,139.799116,59.561,LoopNet Wireless,D22,147.587,68.445,0.751
2024-03-04T05:38:00,35.693952,139.798211,59.548,MetroLink Mobile,E31,152.661,65.075,0.764
2024-03-04T05:40:00,35.691076,139.795363,60.093,LoopNet Wireless,A01,143.65,65.932,0.819
2024-03-04T05:42:00,35.693305,139.796327,60.039,LoopNet Wireless,B07,145.556,65.015,0.815
2024-03-04T05:44:00,35.692772,139.796424,59.806,UQ Mobile,C13,145.039,69.127,0.793
2024-03-04T05:46:00,35.69204,139.79537,59.799,MetroLink Mobile,D22,146.231,64.811,0.76
2024-03-04T05:48:00,35.695108,139.796046,59.772,UQ Mobile,E31,153.316,66.809,0.844
2024-03-04T05:50:00,35.693116,139.7945,59.556,UQ Mobile,A01,153.124,67.245,0.793
2024-03-04T05:52:00,35.694242,139.794338,59.88,LoopNet Wireless,B07,147.252,67.205,0.815
2024-03-04T05:54:00,35.69595,139.797873,59.759,LoopNet Wireless,C13,147.718,66.755,0.785
2024-03-04T05:56:00,35.696487,139.796242,59.708,UQ Mobile,D22,150.411,70.309,0.834
2024-03-04T05:58:00,35.697075,139.79572,59.78,LoopNet Wireless,E31,146.097,71.304,0.819
2024-03-04T06:00:00,35.695483,139.794776,59.585,UQ Mobile,A01,149.29,71.424,0.803
2024-03-04T06:02:00,35.697058,139.794459,59.812,UQ Mobile,B07,146.163,68.3,0.798
2024-03-04T06:04:00,35.696653,139.796782,59.848,LoopNet Wireless,C13,146.317,70.587,0.831
2024-03-04T06:06:00,35.697473,139.792951,59.735,UQ Mobile,D22,154.051,67.49,0.849
2024-03-04T06:08:00,35.696842,139.795922,59.505,LoopNet Wireless,E31,153.108,71.388,0.821
2024-03-04T06:10:00,35.698278,139.792891,59.85,MetroLink Mobile,A01,149.652,67.773,0.837
2024-03-04T06:12:00,35.697394,139.793571,59.674,UQ Mobile,B07,151.795,68.366,0.82
2024-03-04T06:14:00,35.699724,139.795791,59.54,LoopNet Wireless,C13,156.204,68.555,0.833
2024-03-04T06:16:00,35.696915,139.791834,59.663,MetroLink Mobile,D22,155.548,72.324,0.894
